//information
San Diego Sailors,Qualcomm Stadium,71500,"San Diego, California",American Football Conference,AFC West,Bermuda Grass,Open,2022
//distances
Qualcomm Stadium,State Farm Stadium,300
Qualcomm Stadium,Sofi Stadium,121
Qualcomm Stadium,Empower Field at Mile High,830
State Farm Stadium,Qualcomm Stadium,300
Sofi Stadium,Qualcomm Stadium,121
Broncos Stadium at Mile High,Qualcomm Stadium,830
//souvenirs
San Diego Sailors,Signed helmets,77.99
San Diego Sailors,Autographed Football,99.89
San Diego Sailors,Team pennant,17.99
San Diego Sailors,Team picture,29.99
San Diego Sailors,Team jersey,199.99
